question,choice1,choice2,choice3,choice4,answer,explanation
【数学】3/4x - 2 = 7 を解くと x は？,8,12,15,18,2,3/4x=9Rightarrow x=12。
【数学】不等式 5y+3>2y+12 を満たす最小の整数 y は？,2,3,4,5,3,3y>9→y>3 なので4。
【数学】連立方程式 「2a+3b=17」「a-b=1」 を解くと b=？,2,3,4,5,2,a=b+1→2(b+1)+3b=17→5b=15→b=3。
【数学】式 x^{2}+5x+6 を因数分解すると？,(x+2)(x+3),(x+1)(x+6),(x+2)(x+4),(x+3)(x+3),1,"積6,和5→2と3。"
【数学】x^{2}=64 の正の解は？,6,7,8,9,3,√64=8。
【数学】正八角形の 1 つの内角は？,120°,135°,140°,150°,2,内角=(8-2)×180/8=135°。
【数学】底辺9cm高さ12cmの直角三角形の斜辺は？,14cm,15cm,16cm,17cm,2,9²+12²=225→√=15cm。
【数学】直径14cmの円の周長(π=3.14)は？,43.96cm,44.0cm,45.0cm,46.2cm,1,周長=πd=43.96cm。
【数学】1辺5cmの立方体の表面積は？,100,125,150,250,3,6×25=150。
【数学】半径3cm高さ10cmの円柱体積(πそのまま),30π,60π,90π,100π,3,π×9×10=90π。
【数学】硬貨2枚で表がちょうど1枚出る確率は？,1/4,1/2,3/4,1/3,2,2/4=1/2。
【数学】サイコロ2個で和が7の確率は？,1/6,1/8,1/9,1/12,1,6/36=1/6。
"【数学】A:B=2:3,B:C=5:4 のとき A:C は？",10:12,2:3,5:6,4:5,3,5:6。
【数学】25%利益で750円販売。原価は？,550,560,600,625,3,原価=600。
"【数学】等差数列4,7,10,... 第10項は？",28,29,30,31,4,4+9×3=31。
【数学】一次関数 y=-2x+5 のx切片は？,-2.5,0,2.5,5,3,y=0→x=2.5。
【数学】√50 を簡単にすると？,5√2,√25,10√2,√10,1,50=25×2→5√2。
【数学】3/√5 を有理化すると？,3√5/5,√5/3,15/√5,√15/5,1,分母に√5を掛ける。
【数学】24と36の最大公約数は？,6,8,12,18,3,12。
【数学】6と8の最小公倍数は？,12,16,24,48,3,24。
【数学】60の素因数分解は？,2²×3×5,2×3²×5,2×3×5,2³×5,1,60=2²×3×5。
【数学】一次関数 y=3x-9 のx切片は？,-3,0,3,9,3,x=3。
【数学】直方体3×4×5の体積は？,60,40,30,15,1,60。
【数学】コイン3回で表2枚の確率は？,1/8,1/4,3/8,1/2,3,3C2/8=3/8。
【数学】5%増で1050円。元の値は？,950,1000,995,1050,2,1000円。
"【数学】点(2,3)から原点までの距離は？",√13,5,4,√10,1,√(4+9)=√13。
【数学】内角和2700°の多角形の辺数は？,15,16,17,18,3,(n-2)180=2700→n=17。
【数学】|−4|+|3|は？,1,7,-1,-7,2,7。
【数学】比例式 4:7 = 8:x なら x=?,10,12,14,16,3,4x=56→x=14。
【数学】(x+2)² を展開すると？,x²+4x+4,x²+2x+4,x²+4x+2,x²+2x+2,1,公式。
【数学】√18 を簡単にすると？,3√2,2√5,√9,6,1,18=9×2→3√2。
【数学】0.2x+3=5 の解 xは？,5,8,10,15,3,0.2x=2→x=10。
"【数学】2点(1,2),(5,10) の傾きは？",1,2,3,4,2,傾き2。
【数学】30°角で対辺2cmの直角三角形。斜辺は？,2,3,4,√3,3,sin30=1/2→斜辺=4。
【数学】(x-3)(x+5)=0 の解の和は？,-2,2,8,-8,1,解3と-5の和=-2。
"【数学】連立方程式 m+n=7,; m-n=1 で n=？",2,3,4,5,2,加減法で n=3。
【数学】(a³)² = ?,a⁵,a⁶,a⁹,a³,2,指数法則：掛け算で指数2×3=6。
【数学】一次関数 y = -1/2x + 4 の傾きは？,1/2,-1/2,2,-2,2,傾きは係数 -1/2。
【数学】40 の約数の個数は？,6,7,8,9,3,40=2³×5→(3+1)(1+1)=8。
【数学】奇数と偶数の積は？,奇数,偶数,どちらでもない,条件不足,2,偶数。
