question,choice1,choice2,choice3,choice4,answer,explanation,base_question
【表現技法】『まるで火のような赤』は？（応用）,直喩,隠喩,誇張法,体言止め,1,『まるで～のよう』という表現は直喩の特徴。,【表現技法】『まるで火のような赤』は？
【語彙】『異口同音』の意味はどれか。（応用）,多くの人が違うことを言う,一人が何度も話す,皆が同じことを言う,言葉を失う,3,『異口同音』は多くの人が同じことを言うこと。,【語彙】『異口同音』の意味はどれか。
【表現技法】『太陽が笑っている』は何の技法？（応用）,隠喩,比喩,擬人法,誇張法,3,人でないものに人の動作をさせる擬人法。,【表現技法】『太陽が笑っている』は何の技法？
【文学史】『坊っちゃん』の作者は誰か。（応用）,夏目漱石,森鷗外,太宰治,芥川龍之介,1,『坊っちゃん』は夏目漱石の代表作の一つ。,【文学史】『坊っちゃん』の作者は誰か。
【文法】「食べさせられる」は何形の動詞か。（応用）,受け身形,使役受け身形,可能形,命令形,2,「させられる」は使役と受け身が組み合わさった形。,【文法】「食べさせられる」は何形の動詞か。
【文法】「行かない」の「ない」は何の品詞か。（応用）,助詞,名詞,助動詞,形容詞,3,「ない」は助動詞として使われている。,【文法】「行かない」の「ない」は何の品詞か。
【文学史】『走れメロス』の作者は誰か。（応用）,夏目漱石,太宰治,芥川龍之介,宮沢賢治,2,『走れメロス』は太宰治の短編小説。,【文学史】『走れメロス』の作者は誰か。
【四字熟語】意味：学問に熱心に励むこと。（応用）,一石二鳥,切磋琢磨,学而不厭,温故知新,2,『切磋琢磨』は互いに励まし合って向上すること。,【四字熟語】意味：学問に熱心に励むこと。
【漢字】『気が長い』の反対語はどれか。（応用）,気が短い,気が重い,気が小さい,気が向く,1,「気が短い」はせっかちな性格を表す。,【漢字】『気が長い』の反対語はどれか。
【ことわざ】『犬も歩けば』の後に続くのは？（応用）,棒にあたる,道を知る,骨を拾う,雨にぬれる,1,『犬も歩けば棒に当たる』は、出しゃばると災難に遭う意味。,【ことわざ】『犬も歩けば』の後に続くのは？
【ことわざ】『石の上にも三年』の意味は？,継続すれば成功する,無理なことも時が解決する,無駄な努力はやめるべき,最初が肝心である,1,つらくても辛抱強く続ければ成果が出るということ。,【ことわざ】『石の上にも三年』の意味は？
【語彙】『以心伝心』の意味は？,心を通わせて話す,無言で気持ちが伝わる,直接言葉で伝える,はっきり言葉にする,2,言葉にしなくても気持ちが伝わること。,【語彙】『以心伝心』の意味は？
【漢字】『兆し』の正しい読みは？,きざし,しるし,ほこり,おとずれ,1,『兆し』は何かが起こる前触れを意味し「きざし」と読む。,【漢字】『兆し』の正しい読みは？
【文法】『〜たほうがいい』は何を表している？,義務,希望,助言,命令,3,『〜たほうがいい』は助言や提案を表す言い方。,【文法】『〜たほうがいい』は何を表している？
【表現技法】『真っ赤なウソ』は何の技法？,誇張法,比喩法,体言止め,直喩法,1,実際よりも大げさに表現する誇張法に当たる。,【表現技法】『真っ赤なウソ』は何の技法？
【文学史】『雨ニモマケズ』を書いた人物は？,芥川龍之介,宮沢賢治,夏目漱石,島崎藤村,2,『雨ニモマケズ』は宮沢賢治の詩で有名。,【文学史】『雨ニモマケズ』を書いた人物は？
【四字熟語】『異口同音』の読み方は？,いこうどうおん,いくちどうおん,いこうどうね,いくちどういん,1,『異口同音』は「いこうどうおん」と読む。,【四字熟語】『異口同音』の読み方は？
【ことわざ】『二兎を追う者は』の後に続くのは？,一兎も得ず,二兎とも得ず,一羽も得ず,両方を得る,1,欲張ると両方とも失うという意味のことわざ。,【ことわざ】『二兎を追う者は』の後に続くのは？
【文法】『食べられる』は何形の動詞か？,使役形,受け身形,可能形,命令形,2,『食べられる』は受け身形。,【文法】『食べられる』は何形の動詞か？
【語彙】『一目置く』の正しい意味は？,少し注意する,尊敬して距離を置く,相手を認めて敬意を払う,目をそらす,3,『一目置く』は相手を認めて敬意を払うこと。,【語彙】『一目置く』の正しい意味は？
【四字熟語】『以心伝心』の意味は？,直接言葉で伝える,心で通じ合う,冷たくあしらう,うまくごまかす,2,『以心伝心』は心で通じ合うこと。,【四字熟語】『以心伝心』の意味は？
【ことわざ】『笑う門には』の続きは？,春が来る,福来たる,鬼が笑う,雨が降る,2,『笑う門には福来たる』は前向きな人に幸運が訪れるという意味。,【ことわざ】『笑う門には』の続きは？
【文学史】『舞姫』の作者は誰か？,夏目漱石,森鷗外,島崎藤村,太宰治,2,『舞姫』は森鷗外の代表作。,【文学史】『舞姫』の作者は誰か？
【表現技法】『頭が切れる人』の意味は？,怒りっぽい人,頭の回転が速い人,髪型が良い人,けがをした人,2,比喩的に『頭が切れる』とは頭の回転が速いこと。,【表現技法】『頭が切れる人』の意味は？
【漢字】『履歴書』の「履」の意味に最も近いのは？,過去,見る,歩む,学ぶ,3,「履」は「踏む・歩む」の意味がある。,【漢字】『履歴書』の「履」の意味に最も近いのは？
【語彙】『一石二鳥』の意味は？,一つの方法で二つの成果を得る,石を2回投げる,同時に損失と利益,運まかせ,1,一つの行動で二つの利益を得ること。,【語彙】『一石二鳥』の意味は？
【文学史】『吾輩は猫である』の作者は？,夏目漱石,森鷗外,芥川龍之介,太宰治,1,『吾輩は猫である』は夏目漱石のデビュー作。,【文学史】『吾輩は猫である』の作者は？
【文法】『〜ようと思う』の文法的な意味は？,義務,推量,意志,願望,3,『〜ようと思う』は話し手の意志を表す。,【文法】『〜ようと思う』の文法的な意味は？
【四字熟語】『十人十色』の意味は？,全員が同じ考えを持つ,多くの人が集まる,人それぞれ考えや好みが違う,十人が一致団結する,3,『十人十色』は人それぞれ考えや好みが違うという意味。,【四字熟語】『十人十色』の意味は？
【ことわざ】『転ばぬ先の杖』の意味は？,思い切って挑戦する,後悔先に立たず,用心して備える,人に頼る,3,転ぶ前に杖を持つ＝事前の準備や用心が大事という意味。,【ことわざ】『転ばぬ先の杖』の意味は？
【漢字】『漠然』の意味に最も近いのは？,はっきりしている,だらしない,ぼんやりしている,深刻である,3,『漠然』ははっきりせず、ぼんやりしていることを表す。,【漢字】『漠然』の意味に最も近いのは？
【ことわざ】『猫に小判』の意味は？,猫は金を持っている,価値のわからない者に与えても無駄,猫は小判が好き,猫の目の色は変わる,2,価値のわからない者に貴重なものを与えても意味がないというたとえ。,【ことわざ】『猫に小判』の意味は？
【ことわざ】『猿も木から落ちる』の意味は？,猿は木登りが得意,失敗しない人はいない,木から落ちると危ない,努力は報われる,2,名人でも時には失敗することのたとえ。,
【漢字】『破綻』の意味に最も近いものは？,成功,失敗,発展,補修,2,『破綻』は物事がうまくいかなくなる、失敗すること。,
【四字熟語】『公明正大』の意味は？,優柔不断,厳格すぎる,公平で隠し事がない,規模が大きい,3,『公明正大』は公平で正しいことを表す。,
【語彙】『杞憂』の意味は？,余計な心配,確かな予測,正当な不安,大成功,1,『杞憂』は取り越し苦労や無用な心配のこと。,
【文法】『〜なければならない』の意味は？,命令,禁止,義務,疑問,3,〜なければならないは義務を表す。,
【文学史】『夜明け前』の作者は誰か？,夏目漱石,島崎藤村,森鷗外,芥川龍之介,2,『夜明け前』は島崎藤村の代表的な長編小説。,
